Tempo,SP,PV_Ideal,Sinal_Controle_Ideal
15.3,40,36.4548765828456,39.3504543810987
15.4,40,36.522298524829,39.3521600511147
15.5,40,36.5770145959911,39.3631549606491
15.6,40,36.6251095489623,39.3786772454888
15.7,40,36.6930134580378,39.3772659028998
15.8,40,36.7439398350696,39.3886217639132
15.9,40,36.7904762678078,39.4027449974377
16,40,36.8392942988557,39.4142618638177
16.1,40,36.881887040553,39.430077477811
16.2,40,36.9212545786621,39.4478433740651
16.3,40,36.9962934613847,39.4358715725049
16.4,40,37.060990868895,39.4311377925943
16.5,40,37.1109677245211,39.4373808245011
16.6,40,37.1445874846744,39.4561716166237
16.7,40,37.1817912096423,39.4714999772951
16.8,40,37.2253826761488,39.4810206812716
16.9,40,37.2778828451832,39.4825744205211
17,40,37.3083509359726,39.5012663329139
17.1,40,37.3287063398061,39.5277227084103
17.2,40,37.3579027568718,39.5466391306478
17.3,40,37.4045446193349,39.5508529267679
17.4,40,37.4509190316018,39.5545386924488
17.5,40,37.497045417612,39.5576848569589
17.6,40,37.5365589078574,39.5654891222368
17.7,40,37.5785530617687,39.5706369501194
17.8,40,37.6132847349233,39.581039055837
17.9,40,37.6607834668573,39.5804675348201
18,40,37.6853140796978,39.5978780192725
18.1,40,37.7276904775381,39.6003338533597
18.2,40,37.7563685149529,39.6132895271886
18.3,40,37.7898224117179,39.6218892511892
18.4,40,37.8315726875419,39.6231838675292
18.5,40,37.8773366525711,39.6205353090648
18.6,40,37.9007889343134,39.6353608607219
18.7,40,37.9476171171751,39.6307364405577
18.8,40,37.9874809677612,39.6310456646047
18.9,40,38.0193538152664,39.6372377255562
19,40,38.0494572437673,39.6443636668552
19.1,40,38.0788840596812,39.6515600691693
19.2,40,38.1070241646109,39.6593355985917
19.3,40,38.1379901574138,39.6643549618307
19.4,40,38.1687220141053,39.6690699242518
19.5,40,38.2066094628167,39.6674542138777
19.6,40,38.2506542090941,39.6602079495103
19.7,40,38.2831880058392,39.6616499040208
19.8,40,38.3084070790566,39.668540132182
19.9,40,38.3415293172409,39.6685778725587
20,40,38.3696207106694,39.6721908264451
20.1,40,38.3852179452986,39.685549551617
20.2,40,38.4203641620362,39.6827067516344
20.3,40,38.4484003367396,39.6851034064838
20.4,40,38.4742270198408,39.6888544276854
20.5,40,38.5033795344627,39.6894783434364
20.6,40,38.5294539604808,39.6921475392543
20.7,40,38.5431555022144,39.704495817832
20.8,40,38.5645443305591,39.7103520458673
20.9,40,38.5857868056928,39.7159854768692
21,40,38.6028989732707,39.7246493592346
21.1,40,38.6417650605363,39.7152882484535
21.2,40,38.6543519424539,39.7267491118401
21.3,40,38.6707967392167,39.7348605266025
21.4,40,38.684817296552,39.7446870039894
21.5,40,38.69417864189,39.7580910694487
21.6,40,38.7133422206961,39.7633467308728
21.7,40,38.7314202259516,39.7691816030531
21.8,40,38.7671180108704,39.7603494869441
21.9,40,38.7843198016695,39.7660389374781
22,40,38.7932227242687,39.7782250358105
22.1,40,38.8286023677325,39.7686636831557
22.2,40,38.8594409715254,39.762241744577
22.3,40,38.875044170385,39.7677584787631
22.4,40,38.8778091178736,39.7835015748863
22.5,40,38.8913409197733,39.7904146786502
22.6,40,38.9075998532975,39.794885934178
22.7,40,38.9279025536983,39.7957973329982
22.8,40,38.9425023284234,39.8010374759634
22.9,40,38.9638926344376,39.800502949001
23,40,38.9843386412263,39.8003967253104
23.1,40,38.9881151231387,39.8135656978103
23.2,40,38.9950746976792,39.8240768430151
23.3,40,39.0041525980481,39.8327480811511
23.4,40,39.0155321572988,39.8393959192338
23.5,40,39.0286718426315,39.8444254214855
23.6,40,39.0449482975284,39.8466850848076
23.7,40,39.0308328845008,39.8734840890776
23.8,40,39.0429937481874,39.8790674981574
23.9,40,39.0718501810474,39.8708327489726
24,40,39.0771100444544,39.8813910975358
24.1,40,39.1022804045355,39.8756183229983
24.2,40,39.1210619316009,39.8746561104403
24.3,40,39.1356969198287,39.8767769691409
24.4,40,39.1521776854783,39.8771575136535
24.5,40,39.1510381551873,39.8916525274033
24.6,40,39.1648663053961,39.89395214635
24.7,40,39.1951833051636,39.8825756136534
24.8,40,39.209768293038,39.8835513306652
24.9,40,39.223519717305,39.8849738757747
25,40,39.2293486259652,39.8926411708311
25.1,40,39.242177621972,39.8945031320741
25.2,40,39.2573949220594,39.8942109732512
25.3,40,39.2742262443937,39.8923582954735
25.4,40,39.2827750252322,39.896994870399
25.5,40,39.2925963358173,39.9004562805579
25.6,40,39.3246686513527,39.8856037297079
